value,method
11.187147,normal
11.541194,normal
11.536585,normal
11.479264,normal
11.406222,normal
11.327212,normal
11.244584,normal
11.154884,normal
11.068751,normal
10.992477,normal
11.333362,normal
11.54824,normal
11.524768,normal
11.46395,normal
11.39184,normal
11.313056,normal
11.232121,normal
11.151236,normal
11.070095,normal
10.990868,normal
11.360011,normal
11.526974,normal
11.495662,normal
11.433676,normal
11.359156,normal
11.281033,normal
11.200175,normal
11.120378,normal
11.046461,normal
11.000481,normal
11.483858,normal
11.564158,normal
11.50931,normal
11.433551,normal
11.359151,normal
11.283621,normal
11.205516,normal
11.129343,normal
11.055306,normal
10.990065,normal
11.436063,normal
11.603566,normal
11.553832,normal
11.471683,normal
11.384977,normal
11.300848,normal
11.222398,normal
11.144297,normal
11.071943,normal
11.001295,normal
11.283221,normal
11.580848,normal
11.554179,normal
11.477593,normal
11.387637,normal
11.297077,normal
11.213522,normal
11.137511,normal
11.063958,normal
10.994917,normal
11.328858,normal
11.588997,normal
11.562962,normal
11.495173,normal
11.406589,normal
11.314505,normal
11.224796,normal
11.143344,normal
11.071402,normal
11.001756,normal
11.285913,normal
11.56126,normal
11.541744,normal
11.478109,normal
11.402997,normal
11.312464,normal
11.218499,normal
11.130774,normal
11.052216,normal
10.992939,normal
11.416039,normal
11.557257,normal
11.523792,normal
11.457845,normal
11.383144,normal
11.302475,normal
11.220624,normal
11.129409,normal
11.045156,normal
11.020855,normal
11.473465,normal
11.542462,normal
11.502548,normal
11.437342,normal
11.363141,normal
11.286633,normal
11.205798,normal
11.12763,normal
11.054478,normal
10.990181,normal
11.440478,normal
11.571946,normal
11.524323,normal
11.454705,normal
11.384008,normal
11.30827,normal
11.233184,normal
11.157141,normal
11.083521,normal
11.012884,normal
11.200238,normal
11.604293,normal
11.583547,normal
11.51399,normal
11.4336,normal
11.357162,normal
11.28204,normal
11.20757,normal
11.131826,normal
11.058785,normal
10.991767,normal
11.409164,normal
11.602996,normal
11.556736,normal
11.476896,normal
11.389391,normal
11.303722,normal
11.223013,normal
11.148714,normal
11.076891,normal
