selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8622145
cur(249), end(2183), percent[11.41%], dist(0.61)
cur(250), end(2183), percent[11.45%], dist(0.61)
cur(251), end(2183), percent[11.5%], dist(0.61)
cur(252), end(2183), percent[11.54%], dist(0.61)
cur(253), end(2183), percent[11.59%], dist(0.61)
cur(254), end(2183), percent[11.64%], dist(0.61)
cur(255), end(2183), percent[11.68%], dist(0.61)
cur(256), end(2183), percent[11.73%], dist(0.61)
cur(257), end(2183), percent[11.77%], dist(0.61)
cur(258), end(2183), percent[11.82%], dist(0.61)
cur(259), end(2183), percent[11.86%], dist(0.61)
cur(260), end(2183), percent[11.91%], dist(0.61)
cur(261), end(2183), percent[11.96%], dist(0.61)
cur(262), end(2183), percent[12.0%], dist(0.61)
cur(263), end(2183), percent[12.05%], dist(0.61)
cur(264), end(2183), percent[12.09%], dist(0.61)
cur(265), end(2183), percent[12.14%], dist(0.61)
cur(266), end(2183), percent[12.19%], dist(0.61)
cur(267), end(2183), percent[12.23%], dist(0.61)
cur(268), end(2183), percent[12.28%], dist(0.61)
cur(269), end(2183), percent[12.32%], dist(0.61)
cur(270), end(2183), percent[12.37%], dist(0.61)
cur(271), end(2183), percent[12.41%], dist(0.61)
cur(272), end(2183), percent[12.46%], dist(0.61)
cur(273), end(2183), percent[12.51%], dist(0.61)
cur(274), end(2183), percent[12.55%], dist(0.61)
cur(275), end(2183), percent[12.6%], dist(0.61)
cur(276), end(2183), percent[12.64%], dist(0.61)
cur(277), end(2183), percent[12.69%], dist(0.61)
cur(278), end(2183), percent[12.73%], dist(0.61)
cur(279), end(2183), percent[12.78%], dist(0.61)
cur(280), end(2183), percent[12.83%], dist(0.61)
cur(281), end(2183), percent[12.87%], dist(0.61)
cur(282), end(2183), percent[12.92%], dist(0.61)
cur(283), end(2183), percent[12.96%], dist(0.61)
cur(284), end(2183), percent[13.01%], dist(0.61)
cur(285), end(2183), percent[13.06%], dist(0.61)
cur(286), end(2183), percent[13.1%], dist(0.61)
cur(287), end(2183), percent[13.15%], dist(0.61)
cur(288), end(2183), percent[13.19%], dist(0.61)
cur(289), end(2183), percent[13.24%], dist(0.61)
cur(290), end(2183), percent[13.28%], dist(0.61)
cur(291), end(2183), percent[13.33%], dist(0.61)
cur(292), end(2183), percent[13.38%], dist(0.61)
cur(293), end(2183), percent[13.42%], dist(0.61)
cur(294), end(2183), percent[13.47%], dist(0.61)
cur(295), end(2183), percent[13.51%], dist(0.61)
cur(296), end(2183), percent[13.56%], dist(0.61)
cur(297), end(2183), percent[13.61%], dist(0.61)
cur(298), end(2183), percent[13.65%], dist(0.61)
cur(299), end(2183), percent[13.7%], dist(0.61)
cur(300), end(2183), percent[13.74%], dist(0.61)
cur(301), end(2183), percent[13.79%], dist(0.61)
cur(302), end(2183), percent[13.83%], dist(0.61)
cur(303), end(2183), percent[13.88%], dist(0.61)
cur(304), end(2183), percent[13.93%], dist(0.61)
cur(305), end(2183), percent[13.97%], dist(0.61)
cur(306), end(2183), percent[14.02%], dist(0.61)
cur(307), end(2183), percent[14.06%], dist(0.61)
cur(308), end(2183), percent[14.11%], dist(0.61)
cur(309), end(2183), percent[14.15%], dist(0.61)
cur(310), end(2183), percent[14.2%], dist(0.61)
cur(311), end(2183), percent[14.25%], dist(0.61)
cur(312), end(2183), percent[14.29%], dist(0.61)
cur(313), end(2183), percent[14.34%], dist(0.61)
cur(314), end(2183), percent[14.38%], dist(0.61)
cur(315), end(2183), percent[14.43%], dist(0.61)
cur(316), end(2183), percent[14.48%], dist(0.61)
cur(317), end(2183), percent[14.52%], dist(0.61)
cur(318), end(2183), percent[14.57%], dist(0.61)
cur(319), end(2183), percent[14.61%], dist(0.61)
cur(320), end(2183), percent[14.66%], dist(0.61)
cur(321), end(2183), percent[14.7%], dist(0.61)
cur(322), end(2183), percent[14.75%], dist(0.61)
cur(323), end(2183), percent[14.8%], dist(0.61)
cur(324), end(2183), percent[14.84%], dist(0.61)
cur(325), end(2183), percent[14.89%], dist(0.61)
cur(326), end(2183), percent[14.93%], dist(0.61)
cur(327), end(2183), percent[14.98%], dist(0.61)
cur(328), end(2183), percent[15.03%], dist(0.61)
cur(329), end(2183), percent[15.07%], dist(0.61)
cur(330), end(2183), percent[15.12%], dist(0.61)
cur(331), end(2183), percent[15.16%], dist(0.61)
cur(332), end(2183), percent[15.21%], dist(0.61)
cur(333), end(2183), percent[15.25%], dist(0.61)
cur(334), end(2183), percent[15.3%], dist(0.61)
cur(335), end(2183), percent[15.35%], dist(0.61)
cur(336), end(2183), percent[15.39%], dist(0.61)
cur(337), end(2183), percent[15.44%], dist(0.61)
cur(338), end(2183), percent[15.48%], dist(0.61)
cur(339), end(2183), percent[15.53%], dist(0.61)
cur(340), end(2183), percent[15.57%], dist(0.61)
cur(341), end(2183), percent[15.62%], dist(0.61)
cur(342), end(2183), percent[15.67%], dist(0.61)
cur(343), end(2183), percent[15.71%], dist(0.61)
cur(344), end(2183), percent[15.76%], dist(0.61)
cur(345), end(2183), percent[15.8%], dist(0.61)
cur(346), end(2183), percent[15.85%], dist(0.61)
cur(347), end(2183), percent[15.9%], dist(0.61)
cur(348), end(2183), percent[15.94%], dist(0.61)
cur(349), end(2183), percent[15.99%], dist(0.61)
cur(350), end(2183), percent[16.03%], dist(0.61)
cur(351), end(2183), percent[16.08%], dist(0.61)
cur(352), end(2183), percent[16.12%], dist(0.61)
cur(353), end(2183), percent[16.17%], dist(0.61)
cur(354), end(2183), percent[16.22%], dist(0.61)
cur(355), end(2183), percent[16.26%], dist(0.61)
cur(356), end(2183), percent[16.31%], dist(0.61)
cur(357), end(2183), percent[16.35%], dist(0.61)
cur(358), end(2183), percent[16.4%], dist(0.61)
cur(359), end(2183), percent[16.45%], dist(0.61)
cur(360), end(2183), percent[16.49%], dist(0.61)
cur(361), end(2183), percent[16.54%], dist(0.61)
cur(362), end(2183), percent[16.58%], dist(0.61)
cur(363), end(2183), percent[16.63%], dist(0.61)
cur(364), end(2183), percent[16.67%], dist(0.61)
cur(365), end(2183), percent[16.72%], dist(0.61)
cur(366), end(2183), percent[16.77%], dist(0.61)
cur(367), end(2183), percent[16.81%], dist(0.61)
cur(368), end(2183), percent[16.86%], dist(0.61)
cur(369), end(2183), percent[16.9%], dist(0.61)
cur(370), end(2183), percent[16.95%], dist(0.61)
cur(371), end(2183), percent[16.99%], dist(0.61)
cur(372), end(2183), percent[17.04%], dist(0.61)
cur(373), end(2183), percent[17.09%], dist(0.61)
cur(374), end(2183), percent[17.13%], dist(0.61)
cur(375), end(2183), percent[17.18%], dist(0.61)
cur(376), end(2183), percent[17.22%], dist(0.61)
cur(377), end(2183), percent[17.27%], dist(0.61)
cur(378), end(2183), percent[17.32%], dist(0.61)
cur(379), end(2183), percent[17.36%], dist(0.61)
cur(380), end(2183), percent[17.41%], dist(0.61)
cur(381), end(2183), percent[17.45%], dist(0.61)
cur(382), end(2183), percent[17.5%], dist(0.61)
cur(383), end(2183), percent[17.54%], dist(0.61)
cur(384), end(2183), percent[17.59%], dist(0.61)
cur(385), end(2183), percent[17.64%], dist(0.61)
cur(386), end(2183), percent[17.68%], dist(0.61)
cur(387), end(2183), percent[17.73%], dist(0.61)
cur(388), end(2183), percent[17.77%], dist(0.62)
cur(389), end(2183), percent[17.82%], dist(0.61)
cur(390), end(2183), percent[17.87%], dist(0.62)
cur(391), end(2183), percent[17.91%], dist(0.62)
cur(392), end(2183), percent[17.96%], dist(0.62)
cur(393), end(2183), percent[18.0%], dist(0.62)
cur(394), end(2183), percent[18.05%], dist(0.62)
cur(395), end(2183), percent[18.09%], dist(0.62)
cur(396), end(2183), percent[18.14%], dist(0.62)
cur(397), end(2183), percent[18.19%], dist(0.62)
cur(398), end(2183), percent[18.23%], dist(0.62)
cur(399), end(2183), percent[18.28%], dist(0.62)
cur(400), end(2183), percent[18.32%], dist(0.62)
cur(401), end(2183), percent[18.37%], dist(0.62)
cur(402), end(2183), percent[18.42%], dist(0.62)
cur(403), end(2183), percent[18.46%], dist(0.62)
cur(404), end(2183), percent[18.51%], dist(0.62)
